Año,PBI,Presupuesto total,Presupuesto Ciencia,Devengado Ciencia,Devengado Educación
1993,236505,89723,499,499,1845
1994,257440,95828,575,575,2303
1995,258032,92633,591,591,2410
1996,272150,94013,576,576,2563
1997,292859,97263,659,659,2701
1998,298948,101270,711,711,2811
1999,283523,109245,619,663,2878
2000,284204,108402,609,605,3139
2001,268697,107263,526,526,2971
2002,312580,66607,554,553,2440
2003,375909,72585,765,765,3323
2004,485115,77554,894,894,4196
2005,582538,96086,1168,1195,5461
2006,715904,105893,1528,1619,7729
2007,896980,121303,2051,2291,11157
2008,1149646,161486,2894,2993,13446
2009,1247929,233817,4362,4038,17144
2010,1661721,273129,5175,5075,21919
2011,2179024,372911,6240,6624,32838
2012,2637914,505129,8137,8650,38956
2013,3348308,628629,10245,11664,51943
2014,4579086,859542,13323,16218,70627
2015,5954511,1251630,18534,20949,98805
2016,8228160,1569412,23971,27038,129150
2017,10660228,2363619,31728,33705,165115
2018,14744811,2904414,35490,37350,191481
2019,21558444,4172312,46259,49053,238892
2020,27209814,6247756,51560,65595,323500
2021,46219084,8394994,95270,116273,585213
2022,82810045,13336520,118824,235899,1066419
2023,192408248,28954031,500921,577409,2757050
2024,583909615,67844268,594712,1239265,5010598
2025,867827685,115924195,1320796,1419639,6491053
2026,1033623663,148069294,1575382,1575382,7742689
