ejercicio_presupuestario,pib,finalidad1_funcion1,finalidad1_funcion2,finalidad1_funcion3,finalidad1_funcion4,finalidad1_funcion5,finalidad1_funcion6,finalidad1_funcion7,finalidad1_funcion8,finalidad2_funcion1,finalidad2_funcion2,finalidad2_funcion3,finalidad2_funcion4,finalidad3_funcion1,finalidad3_funcion2,finalidad3_funcion3,finalidad3_funcion4,finalidad3_funcion5,finalidad3_funcion6,finalidad3_funcion7,finalidad3_funcion8,finalidad3_funcion9,finalidad4_funcion1,finalidad4_funcion2,finalidad4_funcion3,finalidad4_funcion4,finalidad4_funcion5,finalidad4_funcion6,finalidad4_funcion7,finalidad4_funcion8,finalidad5_funcion1
2004,485115194724.76,375234598.67,1057862535.79,413165074.71,817959820.72,1993468778.39,67033140.85,57016780.16,101069200.78,2581650227.11,2007317814.23,261684828.10,350061464.26,2624170447.67,4497566666.30,24745561823.19,4195941781.57,894072240.68,3910861904.81,1137602910.85,293385261.54,0.00,2490400214.33,142893681.01,2250341619.79,74095196.05,327350605.01,110315522.89,85978086.41,523241592.41,5888045056.18
2005,582538172937.28,444922060.51,1330804650.84,490597862.88,770393164.92,2386587590.61,82654814.89,62191372.68,71238340.98,2944802880.34,2300512951.21,326326418.55,386572836.90,2830500432.49,5680326989.15,28867241808.35,5461018925.72,1195922270.11,3583120830.65,3057443060.68,403000695.24,0.00,3484008314.00,208111065.17,4101415722.78,102926621.50,401100058.42,375831960.95,114612137.37,3325095847.27,12049957953.50
2006,715904271733.85,536616363.48,1643660704.02,587368153.58,1013170123.38,2371534823.07,106672314.17,82084092.62,67125926.75,3415321239.94,2759869143.91,444944338.17,446067577.97,3572441068.31,7086159754.01,36580030366.13,7728797037.66,1619510563.83,3148218344.33,4080242243.42,886662361.11,0.00,5399580638.29,327774648.43,7078153821.73,125931784.68,557651900.91,318582275.60,190359672.83,1559647454.50,12158765839.35
2007,896980174071.90,623219705.98,2044502910.69,819202533.74,1205365968.44,1592031297.84,132326137.51,103155305.44,103248243.90,4141106707.90,3518724650.14,488741276.39,524491223.78,5074091773.31,3452261991.16,56569986350.19,11156503908.19,2291294395.57,2635987393.03,3123840674.15,1093240210.09,0.00,9935814251.51,412491044.27,10681041024.70,220072564.38,1940382230.46,817112530.94,258439222.68,209079980.15,17253329227.73
2008,1149646090583.64,828148994.01,2824777519.75,1243343000.90,1747296057.43,1675011635.67,171165624.86,135763684.68,135604326.85,5006050076.57,4565954434.74,608590231.43,641863909.45,6724471542.07,4659715631.24,74033087449.24,13445728046.02,2993316913.89,2557799795.21,3758076892.34,1944727944.17,0.00,18999314220.88,587539088.69,15812126522.25,367615743.71,5012092641.72,411340088.61,329403217.55,84280622.26,21669939025.49
2009,1247929268925.02,1069327293.69,3605777758.21,2255005469.60,2193676038.85,7176516168.17,237327945.07,176326143.13,160620545.11,6209914259.76,6691038005.82,1026234082.03,801696370.76,9375263919.40,6930496014.52,98398601983.74,17144295188.80,4038658052.18,2911891955.59,5295571185.53,2586395107.89,0.00,17578730962.86,1315690473.18,20869930811.15,536542424.38,4165878229.94,556645808.07,415927513.99,87568374.98,26102544022.76
2010,1661720925944.58,1440620252.14,4785757336.71,2407535188.23,2696551637.78,10862574051.42,2731207298.92,246329862.11,732328961.99,7683956360.16,10377764937.76,1334636238.99,904736869.22,11477097212.63,9382149614.09,131623382761.38,21918794034.30,5075749218.74,2315565303.99,5289874666.17,3403607261.16,0.00,30807038134.07,2696799565.64,26825292371.26,818933783.64,5463761484.89,701024440.39,631613333.06,630889569.04,23768587848.85
2011,2179024103630.78,2040757151.94,6670578959.20,3352863533.05,2068606040.63,12104547937.39,2434119779.95,357249902.82,247899506.85,9473011068.51,11897926770.43,1952018859.35,1019725377.69,15273638789.39,9619106072.32,175070050175.86,32838097165.31,6624471789.64,3129308679.47,5964369051.41,5458359547.55,0.00,50260761678.26,3923379408.38,39028839413.40,1838105618.26,3463302622.09,922496301.73,1778528203.74,266360015.76,41469756933.20
2012,2637913848215.55,3020196348.36,8836840847.66,3847855685.27,2687494194.43,10938697251.85,2586279374.81,550129814.49,354830411.05,11727803363.38,15182896092.76,2297692272.26,1237150766.59,19602285874.82,10809042224.45,236508689965.58,38956074456.87,8650647598.71,3259144588.86,5153041795.81,7630624541.59,0.00,62344628946.66,4936150121.96,43866948375.71,1575329864.89,3545521332.64,1448577610.16,1948554962.63,323041661.26,48006780660.61
2013,3348308488227.21,4104481421.82,11934664344.36,5552317712.58,3627646065.54,16197959069.27,2652169471.95,714414410.40,407256942.34,16222170918.95,20537601786.66,2799285458.00,1422927934.14,28576517217.30,12565581964.25,314844938701.64,51943408351.29,11663974442.39,3750624864.97,15015642533.77,10999932200.18,0.00,95366081417.35,8553399218.27,55360582715.23,1930918509.53,4703837292.52,2257269386.06,2149818160.81,281317775.26,44798172646.62
2014,4579086425410.10,5749765161.30,16168275599.59,7872802343.36,5885493416.85,20462193151.17,2817843902.62,947320729.21,489957225.49,22419312527.11,32426324974.36,4009193858.12,1990097837.02,39353140869.30,19257006761.97,425325755855.60,70626534382.77,16217999283.92,4381496233.19,24949691654.01,14034323401.28,0.00,213743617577.62,8975408628.47,75066332203.05,2849243611.11,5303906390.10,3544491494.64,2090329943.18,389934921.18,87016421313.46
2015,5954510895692.34,8222927965.78,22867829895.96,10707410442.50,6550728065.97,29844489806.41,3049677019.62,1302776436.94,627631621.32,27531851632.82,42664395579.52,5832191817.31,2996715514.15,56085592473.76,22151487177.61,611547363616.02,98804907944.32,20949031863.87,6410804769.56,30772198896.24,15092785818.79,0.00,175290123094.78,11853791600.70,89035691878.45,3298092164.43,7260477035.01,6393246460.39,4415541561.02,489650455.85,109612714087.29
2016,8228159556536.43,10584587844.83,32034687217.00,8568422434.41,15323563570.58,58257986450.84,5974994359.01,1714855406.30,804554650.56,36562119649.65,58558310390.02,7826633027.20,3751205559.51,74310745422.41,30714819637.35,883144234146.09,129150349295.52,27037818725.66,7058143794.84,24212833567.13,20318054859.00,0.00,235466920490.97,8668265524.22,116733075770.29,5048806973.59,9295256129.37,9621016106.40,2950644192.79,605187013.55,306815163808.21
2017,10644778799189.10,13342573068.08,42891961486.84,12608045710.26,12909968145.97,89832889746.53,1571611437.71,2248246801.88,1237498077.73,49675002079.29,62452550931.52,10966127336.91,4521582437.97,95000118101.67,51994832418.01,1195793367873.63,165115246377.28,33705174455.08,11043759255.89,26652983216.42,16636967701.23,0.00,153641240469.08,11114163290.02,142474356280.09,7012265944.41,11772592942.08,9152043633.89,3204394463.43,775585932.28,324657411239.96
2018,14605790348987.90,16291083941.90,54701314993.17,11915195627.14,20227849391.07,49845415382.86,2228380140.98,2874068743.35,1962224953.76,59088425342.92,74748841124.01,13181532943.41,5486857521.80,118727523248.18,60984664233.32,1538345700054.88,191481295913.42,37349945785.02,7779557812.83,34781097137.73,19676234057.28,0.00,206978911776.46,11718524425.32,172620150720.41,8159626837.21,10070200202.56,9186111033.25,3330232435.16,1071929262.82,554166578395.13
2019,21447249859798.70,21498948814.24,81827460351.01,12745075016.34,27784325402.95,76992572658.95,2843686049.38,3981111476.05,2081427061.06,73831318760.45,96231854455.04,18776604851.33,7740844859.28,169323636847.18,90151113234.88,2218102252823.83,238892384953.63,49052566208.85,10645843304.29,29369815536.35,22765785003.74,0.00,248109215587.27,11818796196.38,267250632005.76,15086646688.99,12502185470.01,9755041962.95,3847732100.43,1286168193.08,937794377680.07
2020,27481439970000.00,28535693352.15,107594936046.34,27410520885.29,38040108265.05,212869552852.47,3593106798.42,5026364397.58,2067758830.52,95227619406.44,124196671069.02,23889351818.02,9664411743.14,335214640360.61,244988434416.61,3614936857356.59,323499960968.98,65595261966.10,15014111137.95,29547041134.99,86138526215.87,0.00,478274873720.10,20949917464.23,282678252150.29,18095178933.53,22632630417.39,137289812749.62,11560297415.04,4205659527.82,632691777369.96
